s1_path,label_path,split
data\processed\STURM\S1\EMSR550_AOI04_04_06_1_2.tif,data\processed\STURM\Floodmaps\EMSR550_AOI04_04_06_1_2.tif,train
data\processed\STURM\S1\EMSR265_23LESBORDES_05_03_2_2.tif,data\processed\STURM\Floodmaps\EMSR265_23LESBORDES_05_03_2_2.tif,train
data\processed\STURM\S1\EMSR517_AOI05_26_14_2_1.tif,data\processed\STURM\Floodmaps\EMSR517_AOI05_26_14_2_1.tif,train
data\processed\Sen1Floods11\S1\India_952728_2_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\India_952728_2_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_10_20_2_1.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_10_20_2_1.tif,train
data\processed\STURM\S1\EMSR444_AOI04_05_09_2_1.tif,data\processed\STURM\Floodmaps\EMSR444_AOI04_05_09_2_1.tif,train
data\processed\Sen1Floods11\S1\Somalia_195014_2_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Somalia_195014_2_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR429_AOI07_19_11_2_2.tif,data\processed\STURM\Floodmaps\EMSR429_AOI07_19_11_2_2.tif,train
data\processed\STURM\S1\EMSR352_AOI01_093_016_1_2.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_093_016_1_2.tif,train
data\processed\STURM\S1\EMSR265_26VERNON_11_10_1_2.tif,data\processed\STURM\Floodmaps\EMSR265_26VERNON_11_10_1_2.tif,train
data\processed\STURM\S1\EMSR438_AOI01_05_09_1_1.tif,data\processed\STURM\Floodmaps\EMSR438_AOI01_05_09_1_1.tif,train
data\processed\STURM\S1\EMSR479_AOI01_06_21_1_2.tif,data\processed\STURM\Floodmaps\EMSR479_AOI01_06_21_1_2.tif,train
data\processed\STURM\S1\EMSR275_03NOVSKA_05_04_2_2.tif,data\processed\STURM\Floodmaps\EMSR275_03NOVSKA_05_04_2_2.tif,train
data\processed\Sen1Floods11\S1\India_764946_0_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\India_764946_0_3_LabelHand.tif,train
data\processed\STURM\S1\EMSR502_AOI05_05_24_2_1.tif,data\processed\STURM\Floodmaps\EMSR502_AOI05_05_24_2_1.tif,train
data\processed\STURM\S1\EMSR470_AOI01_30_12_1_2.tif,data\processed\STURM\Floodmaps\EMSR470_AOI01_30_12_1_2.tif,train
data\processed\STURM\S1\EMSR629_AOI02_03_02_2_1.tif,data\processed\STURM\Floodmaps\EMSR629_AOI02_03_02_2_1.tif,train
data\processed\STURM\S1\EMSR424_AOI01_18_26_1_2.tif,data\processed\STURM\Floodmaps\EMSR424_AOI01_18_26_1_2.tif,train
data\processed\Sen1Floods11\S1\Paraguay_59731_0_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_59731_0_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR324_01CARCASSONNE_6_5_1_2.tif,data\processed\STURM\Floodmaps\EMSR324_01CARCASSONNE_6_5_1_2.tif,train
data\processed\STURM\S1\EMSR502_AOI01_05_06_1_1.tif,data\processed\STURM\Floodmaps\EMSR502_AOI01_05_06_1_1.tif,train
